contract_id,case_filed_yr,case_filed_month,jurisdiction,zip,assign_atty,case_type_x,settlement_offer,amount_billed,contract_dup,case_type_y,hours_worked
 680 4935L876,2012,7,Massachusetts       ,1983,542,5121.0,26950000.0,1637900.0,False,5223.0,315.0
 680 4935L876,2012,7,Massachusetts       ,1983,542,5121.0,26950000.0,1637900.0,False,5121.0,266.0
006A782208   ,2013,10,Colorado            ,80214,100,5219.0,0.0,40900.0,False,,
 PACP8474C585,2012,8,Texas               ,75226,110,5121.0,3764000.0,310300.0,False,5121.0,75.0
 PACP8474C585,2012,8,Texas               ,75226,110,5121.0,3764000.0,310300.0,False,5122.0,15.0
 PACP8474C585,2012,8,Texas               ,75226,110,5122.0,796000.0,116900.0,True,5121.0,75.0
 PACP8474C585,2012,8,Texas               ,75226,110,5122.0,796000.0,116900.0,True,5122.0,15.0
002C989951   ,2013,9,Pennsylvania        ,19123,612,5224.0,20000000.0,111300.0,False,,
005D527419   ,2013,8,Pennsylvania        ,19403,612,5223.0,5000.0,44900.0,False,,
001236P179   ,2013,10,Nebraska            ,68114,147,5122.0,827000.0,21900.0,False,,
001236P179   ,2013,10,Nebraska            ,68114,147,5121.0,2869000.0,55600.0,True,,
00914Y4319   ,2013,6,Illinois            ,60430,620,5121.0,23601000.0,91100.0,False,,
 680 668M8815,2012,8,Georgia             ,30046,713,5119.0,0.0,16700.0,False,5119.0,85.0
008446R870   ,2013,9,Texas               ,79902,612,5121.0,4752000.0,148200.0,False,,
 680 9A428655,2012,8,California          ,92705,712,5213.0,0.0,5200.0,False,5213.0,10.0
 680 1485N545,2012,8,California          ,92395,651,5219.0,0.0,14400.0,False,5219.0,10885.0
006A152099   ,2013,10,Oklahoma            ,74145,42,5121.0,1768000.0,159800.0,False,,
 PACP3403N83A,2012,3,Texas               ,76060,712,5122.0,0.0,44100.0,False,5121.0,3908.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5122.0,0.0,44100.0,False,5233.0,189.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5122.0,0.0,44100.0,False,5132.0,804.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5122.0,0.0,44100.0,False,5122.0,804.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5233.0,0.0,21800.0,True,5121.0,3908.0
