"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","hours_worked"
" 680 1A405205","2013","06","Colorado            ","80487","612","05121",50
" 680 3A981634","2013","08","Illinois            ","60010","544","05224",69
" PACP0316T923","2012","08","Texas               ","75062","456","05106",110
" 680 0C321421","2013","08","North Carolina      ","27560","620","05121",60
" 680 5932P705","2012","08","Massachusetts       ","02190","090","05102",40
" 680 3237M525","2013","05","Colorado            ","80538","044","05122",22
" 680 8180N598","2013","08","Colorado            ","80113","100","05121",54
" 680 6252B739","2012","07","Washington          ","98290","651","05219",135
" 680 8573N82A","2012","08","Georgia             ","30161","712","05122",46
" 680 5466R931","2012","07","Virginia            ","24319","599","05202",10
" 680 8B933497","2012","05","Minnesota           ","55110","152","05119",6
" 680 1220L619","2012","02","New Mexico          ","87829","712","05219",23541
" 680 35F07717","2012","06","Minnesota           ","55792","599","05102",20
" 680 594M0566","2013","12","Pennsylvania        ","19601","612","05121",450
" 680 4222N799","2012","05","District of Columbia","20006","651","05106",4
" 680 5363M353","2013","07","North Carolina      ","28083","630","05121",51
" 680 2367L861","2012","04","Utah                ","84115","599","05122",21
" 680 1388L19A","2012","05","Colorado            ","81621","712","05121",141
" PACP9427P882","2012","04","Texas               ","77040","572","05233",4419
" 680 1185M750","2012","03","Pennsylvania        ","16801","091","05219",1678
" 680 5363M353","2013","07","North Carolina      ","28083","010","05121",35
" 680 1C31174A","2013","07","Wisconsin           ","54303","416","05256",200
" 680 2C127748","2013","08","Illinois            ","60714","997","05223",334
" 680 2939L879","2013","05","Illinois            ","60622","612","05121",2
" 680 6364C051","2013","06","Missouri            ","63136","596","05121",7
" 680 5787P72A","2012","02","Florida             ","33901","712","05219",19
" 680 1690L863","2012","04","New York            ","11412","515","05122",508
" 680 3407M402","2013","06","Massachusetts       ","02138","984","05223",460
" 680 3C582270","2013","09","Connecticut         ","06902","540","05224",401
" 680 6693P853","2012","03","New Jersey          ","08037","712","05121",15
" 680 8023C762","2012","08","Michigan            ","49058","651","05219",15
" PACP1A05677A","2012","08","Texas               ","76107","665","05122",133
" 680 4B87670A","2012","08","Oregon              ","97424","651","05219",50
" 680 3B10146A","2012","02","New York            ","13619","091","05119",130
" 680 4696L707","2012","06","Tennessee           ","37172","620","05223",6221
" 680 5C618948","2013","12","Alabama             ","35209","169","05122",9
" 680 6D106438","2013","09","Connecticut         ","06518","665","05224",2219
" 680 8D987294","2013","11","New York            ","10027","169","05224",4825
" 680 8998X370","2012","08","Illinois            ","60642","712","05122",320
" 680 998Y8184","2013","10","Illinois            ","60640","620","05121",16
" 680 0D671858","2013","04","New Mexico          ","87108","100","05219",46
" 680 3C701343","2013","09","Washington          ","98033","665","05122",546
" 680 5830M875","2013","08","Washington          ","98107","169","05224",14
" 680 9581H692","2012","08","Washington          ","98466","456","05119",103
" 680 8969P593","2012","04","Florida             ","33905","712","05219",19
" 680 3B282437","2012","08","Illinois            ","60202","712","05219",395
" 680 20E20291","2012","08","Florida             ","32806","599","05121",73
" 680 3B235159","2012","08","Indiana             ","46385","651","05219",43
" 680 4C53966A","2013","10","Illinois            ","60623","100","05219",62
" 680 4062X195","2012","01","Michigan            ","48423","741","05119",3
" 680 1A535872","2012","05","Rhode Island        ","02904","712","05219",42
" 680 4667N856","2012","08","Pennsylvania        ","19120","712","05219",102
" 680 2389L379","2013","07","Ohio                ","44122","169","05122",433
" 680 8840M106","2013","06","Arizona             ","86442","010","05223",3199
" 680 7C499557","2013","01","Arkansas            ","72206","913","05125",274
" 680 3372M784","2012","06","Washington          ","98584","712","05219",16
" 680 2153X823","2012","08","New York            ","11207","712","05219",53
" 680 215M740A","2013","10","Oklahoma            ","74135","620","05121",230
" 680 0980M471","2013","02","Utah                ","84078","100","05219",34
" 680 8125X325","2013","06","North Carolina      ","28804","956","05223",75
" 680 3D585950","2013","07","Illinois            ","60654","416","05122",52
" 680 830Y0095","2012","05","District of Columbia","20017","091","05102",20
" 680 350H1347","2013","08","Maine               ","04530","612","05121",77
" 680 8230B614","2013","11","Texas               ","76107","665","05224",4
" 680 7B061797","2012","04","Nebraska            ","68104","091","05102",9
" 680 6805M090","2013","10","South Dakota        ","57108","612","05121",164
" 680 388R938A","2012","08","Oregon              ","97401","553","05201",10
" 680 7D524277","2013","10","Texas               ","78737","503","05223",5
" 680 1D562800","2013","05","Connecticut         ","06066","612","05121",565
" PACP5540X619","2012","08","Texas               ","79905","712","05121",56
" 680 4107N994","2013","05","Illinois            ","60543","620","05224",182
" 680 5D360584","2013","10","Michigan            ","48045","620","05121",488
" 680 4B639373","2013","04","Nevada              ","89109","599","05122",56
" 680 821D4617","2012","08","Georgia             ","30281","599","05119",3
" 680 0888R733","2012","08","New York            ","14482","994","05119",123
